MATRICULE;DEPARTEMENT;FRANCE SERVICES;ADRESSE;COMPLEMENT D'ADRESSE;CODE INSEE;CODE POSTAL;COMMUNE;LATITUDE;LONGITUDE;CONTACT MAIL;TELEPHONE;TYPE STRUCTURE PORTEUSE;STRUCTURE PORTEUSE;HORAIRES LUNDI;HORAIRES MARDI;HORAIRES MERCREDI;HORAIRES JEUDI;HORAIRES VENDREDI;HORAIRES SAMEDI;ITINERANCE;FORMAT FRANCE SERVICES
90;14;Noues de Siennes;1 place de la mairie;;14658;14380;SAINT SEVER-NOUES DE SIENNES;48.84107;-1.04775;pi14@nouesdesienne.fr;02 31 09 27 76;Collectivité;Centre socio-culturel communal;8:30 - 12:15 / 13:15 - 17:00;8:30 - 12:15 / 13:15 - 17:00;8:30 - 12:15;8:30 - 12:15 / 13:15 - 17:00;Sur RDV : 8:30 - 12:15 / Sur RDV : 13:15 - 17:00;-;;Espace labellisé
91;14;Potigny;Place de la 1ère Division Blindée Polonaise;;14516;14420;POTIGNY;48.96901;-0.24201;point-info14-potigny@wanadoo.fr;02 31 90 70 25;Collectivité;Mairie;8:15 - 12:15 / 13:15 - 17:00;9:00 - 12:00;8:15 - 12:00 / 13:15 - 17:00;8:15 - 12:15 / 13:15 - 17:00;8:15 - 12:15 / 13:15 - 17:00;-;;Espace labellisé
93;14;Courseulles sur Mer;4 rue Arthur Leduc;;14191;14470;COURSEULLES SUR MER;49.33412;-0.45681;point-info-14@ville-courseulles.fr;02 31 36 22 50;Collectivité;CCAS;9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30 / 14:00 - 17:00;9:00 - 12:30 / 14:00 - 17:00;9:00 - 13:00 / 14:00 - 16:30;-;;Espace labellisé
94;14;Troarn;Place Raphaël Briard;;14712;14670;TROARN;49.18282;-0.18249;pi14saline@orange.fr;02 31 26 36 09;Collectivité;CCAS;8:30 - 11:45 / 13:30 - 17:15;8:30 - 11:45 / 13:30 - 17:15;8:30 - 11:45;Sur RDV : 8:30 - 11:45 / Sans RDV : 13:30 - 17:15;8:30 - 11:45 / 13:30 - 16:15;-;;Espace labellisé
97;15;Chaudes Aigues;29 Avenue Pierre Vialard;;15045;15110;CHAUDES AIGUES;44.85504;3.005663;msapchaudesaigues@saintflourco.fr;04 71 23 92 33;Collectivité;Saint-Flour Communauté;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
98;15;Hotel Numérique de Montsalvy;25 Rue du Tour de Ville;;15134;15120;MONTSALVY;;;msp.montsalvy@chataigneraie15.fr;04 71 49 64 37;Collectivité;Communauté de Communes de la Châtaigneraie Cantalienne;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30;-;;Espace labellisé
102;15;Pierrefort;6 Rue de l'Aubrac;;15152;15230;PIERREFORT;44.92519;2.841721;msappierrefort@saintflourco.fr;04 71 23 23 54;Collectivité;Saint-Flour Communauté;9:00 - 12:00 ;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 ;-;;Espace labellisé
103;15;Services de Murat;4 Rue du Faubourg Nôtre-dame;;15138;15300;MURAT;45.1187;2.869814;mdsmurat@hautesterres.fr;04 71 20 28 88;Collectivité;Hautes terres Communauté;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;;Espace labellisé
104;15;Maurs;3 Place du 11 Novembre;;15122;15600;MAURS;44.71018;2.196033;msp.maurs@chataigneraie15.fr;04 71 46 87 17;Collectivité;Communauté de Communes de la Châtaigneraie Cantalienne;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;-;;Espace labellisé
105;16;Châteauneuf sur Charente;1 rue Aristide Briand ;;16090;16120;CHATEAUNEUF SUR CHARENTE;45.59955;-0.05477;j.guichet@chateauneuf16120,fr;05 45 97 12 42;Collectivité;Communauté d’Agglomération de Grand Cognac;-;13:30 - 18:00;13:30 - 18:00;8:30 - 12:00 / 13:30 - 18:00;13:30 - 18:00;9:00 - 12:00;;Espace labellisé
106;16;Montmoreau;35 avenue d'aquitaine;;16230;16190;MONTMOREAU ST CYBARD;;;d.sakton@ccltd.fr;05 45 24 08 79;Collectivité;Communauté de Communes;9:15 - 12:15 / 14:00 - 16:00;9:15 - 12:00 / 14:00 - 17:00;9:00 - 12:00;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00 / 14:00 - 16:00;-;;Espace labellisé
107;16;Barbezieux;32 rue de la Motte;;16028;16300;BARBEZIEUX - SAINT-HILAIRE;45.47349;-0.15792;franceservices@cdc4b.com;05 45 98 93 60;Collectivité;Communauté de Communes;8:30 - 12:30 / 13:30 - 16:30;8:30 - 12:30;8:30 - 12:30;8:30 - 12:30;8:30 - 12:30 / 15:30 - 16:30;-;;Espace labellisé
108;16;Montemboeuf;22 Rue Laugérias;;16225;16310;MONTEMBOEUF;45.77758;0.551858;msap.montemboeuf@laposte.fr;05 45 65 24 76;La Poste;La Poste;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 / 13:30 - 16:00;-;;Espace labellisé
109;16;Saint-Séverin;16, Rue du Périgord;;16350;16390;ST SEVERIN;;;s.favrais@ccltd.fr;05 45 98 19 07;Collectivité;Communauté de Communes;9:15 - 12:00 / 13:30 - 16:00;9:15 - 12:00 / 13:30 - 16:00;9:00 - 12:00;9:15 - 12:00 / 13:30 - 16:00;9:15 - 12:00 / 13:30 - 16:00;-;;Espace labellisé
110;17;Centre Arc en Ciel;8 Rue de l'Hotel de Ville ;;17131;17120;COZES;45.58428;-0.83946;csc.cozes@wanadoo.fr;05 46 90 86 67;Association;Centre Arc en Ciel;9:00 - 13:00;9:00 - 12:00 / 14:00 - 17:00    ;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 13:00 - 17:00;-;;Espace labellisé
111;17;La Maison Pop’;11 avenue de la gare;;17240;17130;MONTENDRE;;;lam.montendre@wanadoo.fr;05 46 70 43 67;Association;LA MAISON Pop’;9:00 - 12:00 / 14:00 - 17:00;14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;-;;Espace labellisé
112;17;MIS Maison des Initiatives Marennes;22-24 Rue Dubois Meynardie ;;17219;17320;MARENNES HIERS BROUAGE;;;accueil.mis@marennes-oleron.com;05 79 86 01 50;Association;MIS Maison des Initiatives Marennes;9:00 - 13:00 / 14:00 - 18:00;08:45 - 12:30 / 14:00 - 17:30;8:45 - 12:30 / 14:00 - 17:30;8:45 - 12:30 / 14:00 - 17:30;9:00 - 12:00 / 13:00 - 16:00;-;;Espace labellisé
113;17;Saint-Jean-d’Angély;3 Rue de Dampierre ;;17347;17400;ST JEAN D ANGELY;;;cias@valsdesaintonge.fr;05 46 59 18 33;Collectivité;CDC Vals de Saintonge;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;-;;Espace labellisé
114;17;Saint Martin de Ré;Place de la République;;17369;17410;ST MARTIN DE RE;46.20218;-1.36798;msap.saint-martin-de-re@laposte.fr;05 46 09 38 25;La Poste;La Poste;9:00 - 12:30 / 14:00 - 16:00;9:00 - 12:30 / 14:00 - 16:00;9:00 - 12:30 / 14:00 - 16:00;9:00 - 12:30 / 14:00 - 16:00;9:00 - 12:30 / 14:00 - 16:00;9:00 - 12:00;;Espace labellisé
115;17;Tonnay-Charente - Fixe;76 rue Alsace Lorraine;;17449;17430;TONNAY CHARENTE;;;cap.franceservices@gmail.com;05 46 82 89 40;Association;CAP Tonnay-Charente;8:30 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:00;-;;Espace labellisé
116;17;MSA Jonzac;1 place 8 Mai 1945;;17197;17500;JONZAC;45.44781;-0.43275;;;Opérateur;MSA Jonzac;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;-;;Espace labellisé
117;17;Médis;25 Rue du 4e Zouave ;;17228;17600;MEDIS;45.64382;-0.96433;msap.medis@laposte.fr;05 46 23 85 06;La Poste;La Poste;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:30;9:00 - 12:00 / 13:30 - 16:30;-;;Espace labellisé
119;18;Espace France Services de Sancoins;38 rue de la croix blanche;;18242;18600;SANCOINS;46.82933;2.917966;msap@sancoins.fr;02 48 77 01 75;;;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
120;18;Aubigny sur Nère;6 avenue du 8 mai 1945;;18015;18700;AUBIGNY SUR NERE;;;msap@aubigny-sur-nere.fr;02 48 58 44 02;;;9:30 - 12:00 / 13:30 - 16:30;8:30 - 12:00 / 13:30 - 16:30;9:30 - 12:00 / 13:30 - 16:30;8:30 - 12:00 / 13:30 - 16:30;8:30 - 12:00 / 13:30 - 16:30;-;;Espace labellisé
121;19;Saint-Ybard;1 Rue des Fontaines;;19248;19140;ST YBARD;45.44736;1.521527;msap.saintybard@gmail.com;05 55 21 51 84;Collectivité;Commune (et partenariat privilégié avec chambre d’agriculture);8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
122;19;Ayen;Place Louis Mareuse;;19015;19310;AYEN;45.2465;1.326471;rsp.mairieayen@orange.fr;;Collectivité;Commune;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00;;Espace labellisé
123;19;Chamberet;Place du Monument;;19036;19370;CHAMBERET;45.5831;1.72982;contact@mairie-chamberet.fr;;La Poste;La Poste;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00;;Espace labellisé
124;2A;Jardins de l'Empereur - Ajaccio;Avenue de la Grande Armée Jardins de l'Empereur;Tour Napoleon;2A004;20000;AJACCIO;41.9265;8.725539;msp.empereur1@ville-ajaccio.fr;04 95 10 25 01;Collectivité;Commune AJACCIO;9:00 - 16:00;9:00 - 16:00;9:00 - 16:00;9:00 - 16:00;9:00 - 16:00;-;;Espace labellisé
125;2A;Vico;Cours Jean Etienne Colonna;La Poste;2A348;20160;VICO;48.52683;2.379166;msap.vico@laposte.fr;04 95 26 61 69;La Poste;La Poste;9:00 - 12:00 /  14:00 - 16:00;9:00 - 12:00 /  14:00 - 16:00;9:00 - 12:00 /  14:00 - 16:00;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00 /  14:00 - 16:00;10:00 - 12:00;;Espace labellisé
126;2B;Calacuccia;Piazza al Forno;;2B047;20224;CALACUCCIA;42.33536;9.016688;msap.calacuccia@laposte.fr;04 95 58 90 88;La Poste;La Poste;9:00 - 12:00 /  13:30 - 16:00;9:00 - 12:00 /  13:30 - 16:00;9:00 - 12:00;9:00 - 12:00 /  13:30 - 16:00;9:00 - 12:00 /  13:30 - 16:00;9:00 - 12:00;;Espace labellisé
127;2B;Castello-Di-Rostino;Ponte Novu;;2B079;20235;CASTELLO DI ROSTINO;42.48508;9.2894;msap.castello-di-rostino@laposte.fr;04 95 32 07 24;La Poste;La Poste;8:45 - 12:00 / 14:00 - 16:30;8:45 - 12:00 / 14:00 - 16:30;8:45 - 12:00 / 14:00 - 16:30;8:45 - 12:00 / Semaines paires : 14:00 - 16:30;8:45 - 12:00 / 14:00 - 16:30;8:45 - 11:40;;Espace labellisé
128;21;Is-sur-Tile;20 Place Général Leclerc;;21317;21120;IS SUR TILLE;47.5216;5.112966;msap.issurtille@hotmail.com;;Collectivité;CCAS Is-sur-Tille;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 16:30;-;;Espace labellisé
129;21;Semur-en-Auxois;1 Avenue Pasteur;;21603;21140;SEMUR EN AUXOIS;47.49379;4.346018;efs.semur@gmail.com ;06 62 27 01 01;Collectivité;CCAS Semue-en-Auxois;9:00 - 12:00 / 13:15 - 18:15;8:30 - 12:00 / 13:30 - 18:15;9:00 - 13:00 / 14:00 - 18:15;8:30 - 12:30 / 14:00 - 19:00;9:00 - 13:00 / 13:30 - 17:00;2ème et 4ème samedis du mois : 9:00 - 12:00;;Espace labellisé
130;21;Arnay-le-Duc;3 Rue de la Gare;;21023;21230;ARNAY LE DUC;47.1387;4.49111;msap@csarnayleduc.fr;;Association;"Association du centre social d’Arnay-le-Duc";9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
131;21;Pontailler-sur-Saône;1 Rue des Saucis;;21496;21270;PONTAILLER SUR SAONE;47.3142;5.48484;mds@capvaldesaone.fr;03 80 47 89 82;Collectivité;CC Auxonne Pontailler Val de Saône;14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;-;;Espace labellisé
132;21;Mirebeau-sur-Bèze;6Bis Place du General Viard;;21416;21310;MIREBEAU SUR BEZE;47.39727;5.315046;d.colnot@mfcc.fr;03 80 38 02 48;Collectivité;CC du Mirebellois et du Fontenois;13:30 - 16:30;8:45 - 12:00 / 13:30 - 16:30;8:45 - 12:00 / 13:30 - 16:15;8:45 - 12:00 / 13:30 - 17:30;8:45 - 12:00;-;;Espace labellisé
133;22;Saint-Brieuc;Rue de Genève;;22278;22000;ST BRIEUC;48.51727;-2.74538;msap-pad@saint-brieuc.fr;02 96 60 47 87;Collectivité;Ville de Saint-Brieuc;8:00 - 16:00;8:00 - 16:00;8:30 - 12:00;8:00 - 16:00;8:00 - 16:00;-;;Espace labellisé
134;22;Tréguier;12 rue Lamennais;;22362;22220;TREGUIER;48.78983;-3.22938;franceservices.treguier@lannion-tregor.com;02 96 92 33 46;Collectivité;Lannion Trégor Communauté;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 16:30;-;;Espace labellisé
135;22;Le Mené;24 La Croix de Jeanne Even;;22046;22330;LE MENE;48.29488;-2.52187;ccas@mene.fr;02 96 31 47 17;Collectivité;Commune Le Mené;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;-;;Espace labellisé
136;22;Loudéac;15 Rue de Moncontour;;22136;22600;LOUDEAC;48.17778;-2.75601;msp-loudeac@orange.fr;02 96 66 48 37;Collectivité;Loudéac Communauté Bretagne Centre;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00;;Espace labellisé
137;23;Boussac;Quartier Pasteur;;23031;23600;BOUSSAC;46.34984;2.216669;franceservices@creuseconfluence.com;09 67 30 09 53;Collectivité;Communauté de communes Creuse Confluence;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 14:00 - 16:30;9:30 - 12:00;;Espace labellisé
138;23;La Palette;9 Place de la Poste;;23075;23800;DUN LE PALESTEL;46.30533;1.663737;contact@lapalette23.fr;05 87 66 00 00;Collectivité;Communauté de communes du Pays Dunois;Sept. - Juin : 14:00 - 17:30 // Eté : 10:00 - 12:30 / 13:30 - 18:00;Sept. - Juin : 9:00 - 12:00 / 14:00 - 17:30 // Été : 10:00 - 12:30 / 13:30 - 18:00 ;Sept. - Juin : 9:00 - 12:00 / 14:00 - 17:30 // Été : 10:00 - 12:30 / 13:30 - 18:00 ;Sept. - Juin : 9:00 - 12:00 / 14:00 - 17:30 // Été : 10:00 - 12:30 / 13:30 - 18:00 ;Sept. - Juin : 14:00 - 17:30 // Été : 10:00 - 12:30 / 13:30 - 18:00;Juin - Sept. : 9:00 - 12:00;;Espace labellisé
139;24;Belvès;58 Avenue du Lieutenant Giffault;;24035;24170;PAYS DE BELVES;44.77449;1.002403;pointpublic-belves@wanadoo.fr;05 53 31 44 81;Collectivité;CC Dordogne Forêt Bessede;9:00 - 12:00;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;-;;Espace labellisé
140;24;Thenon Hautefort - Thenon;5, place Montaigne;;24550;24210;THENON;45.1364;1.071554;contact@cctth.fr;;Collectivité;CCAS;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 / 14:00 - 17:30;9:00 - 12:00 / 14:00 - 17:30;14:00 - 17:30;9:00 - 12:00 / 14:00 - 17:30;-;;Espace labellisé
141;24;Lanouaille;9 place de la Fontaine Bugeaud;;24227;24270;LANOUAILLE;45.39144;1.139449;;;La Poste;La Poste;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00;;Espace labellisé
142;24;Nontron;12 bis Boulevard Gambetta;;24311;24300;NONTRON;45.53233;0.66902;;;Etat;Sous préfecture;9:00 - 12:00 / 13:00 - 15:00;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00 / 13:00 - 15:00;9:00 - 12:00 / 14:00 - 16:00;-;;Espace labellisé
144;24;Mussidan;Place Woodbridge;;24299;24400;MUSSIDAN;45.03713;0.364799;mfsmussidan@gmail.com;05 53 81 05 06;Collectivité;CC Isle Crempse en Perigord;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
145;24;Saint Exupéry;60 ter Avenue du Général de Gaulle;Espace Jules Verne;24138;24660;COULOUNIEIX CHAMIERS;45.18905;0.697801;cscc24.correa@gmail.com;;Association;Centre social Saint Exupéry;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
146;25;Besançon Planoise;7 - 9 rue Pablo Picasso;;25056;25000;BESANCON;47.2194;5.97343;msap@besancon.fr;03 81 41 22 21;Collectivité;CCAS de Besançon;8:30 - 12:30 / 13:30 - 17:00;9:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 17:30;-;;Espace labellisé
147;25;Baume les Dames;3 Place de la Republique;;25047;25110;BAUME LES DAMES;47.35258;6.36156;franceservices@baumelesdames.org;03 81 84 72 45;Collectivité;Commune de Baume les Dames;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / Sur RDV : 13:30 - 17:30;9:00 - 12:00 ;13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
149;25;Montbéliard;12 Rue Maurice Ravel;;25388;25200;MONTBELIARD;47.49936;6.798311;france.services.montbeliard@gmail.com;03 81 36 52 03;Collectivité;France Victimes Nord Franche-Comté;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 18:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;-;;Espace labellisé
150;25;Amancey;13 Rue du Four;;25015;25330;AMANCEY;47.03764;6.070628;contact@msap-amancey.fr;03 81 86 79 80;Collectivité;Communauté de Communes Loue Lison;9:00 - 12:15 / 14:00 - 18:00;9:00 - 12:15 / 14:00 - 18:00;9:00 - 12:15 / 14:00 - 18:00;9:00 - 12:15 / 14:00 - 18:00;9:00 - 12:15 / 14:00 - 18:00;9:00 - 12:00;;Espace labellisé
151;25;Premiers Sapins;8 rue de la Scierie - Nods;;25424;25580;LES PREMIERS SAPINS;;;mairie.lps25@orange.fr;;Collectivité;Commune des Premiers Sapins;13:30 - 16:30;13:30 - 16:30;8:30 - 11:30;13:30 - 18:00;9:00 - 16:30;8:30 - 11:30;;Espace labellisé
152;25;Sochaux;4 Rue de la Poste;;25547;25600;SOCHAUX;47.5135;6.831016;france.services.25600@gmail.com;09 62 69 61 15;Collectivité;France Victimes Nord Franche-Comté;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00;13:00 - 18:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00;-;;Espace labellisé
154;25;Valdahon;5 Place du Général de Gaulle;;25578;25800;VALDAHON;47.14798;6.345019;mds@valdahon.com;03 81 26 04 10;Collectivité;Commune de Valdahon;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / Sur RDV : 13:30 - 17:00;-;;Espace labellisé
155;26;Die;200 Avenue de la Clairette;;26113;26150;DIE;44.76029;5.359735;cdr.cfppa.die@educagri.fr;04 75 22 04 19;Collectivité;EPLEFPA Le Valentin;9:00 - 13:00 / 14:00 - 17:00;9:00 - 13:00;9:00 - 13:00 / 14:00 - 17:00;9:00 - 13:00;9:00 - 13:00;-;;Espace labellisé
156;26;Saint-Jean-en-Royans;78 rue Jean-Jaurès;;26307;26190;ST JEAN EN ROYANS;45.0153;5.291459;crm.royans-vercors@gmail.com;04 75 05 21 12;Collectivité;CC Royans-Vercors;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 19:00;10:00 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
157;26;Livron;90 Avenue Joseph Combier;;26165;26250;LIVRON SUR DROME;44.76806;4.840602;;;Collectivité;CC Val de Drôme;8:00 - 12:00 / 13:00 - 17:00;8:00 - 12:00;8:00 - 12:00 / 13:00 - 17:00;8:00 - 12:00;8:00 - 12:00 / 13:00 - 17:00;-;;Espace labellisé
158;26;PIMMS Portes de Provence;130 Avenue de la Gare;;26116;26290;DONZERE;44.44344;4.704757;franceservices.sud-drome@pimms.org;04 69 14 30 30;PIMMS;Union Nationale des PIMMS;8:00 - 12:30 / 13:30 - 18:15;8:00 - 12:30 / 17:00 - 18:15;8:00 - 12:30 / 17:00 - 18:15;8:00 - 12:30 / 17:00 - 18:15;8:00 - 12:30;-;;Espace labellisé
159;27;Evreux Portes de Normandie;1 Rue Frederic et Irene Joliot Curie;;27229;27000;EVREUX;49.09782;1.1686;-;02 32 31 72 02;Collectivité;Evreux Portes de Normandie;10:30 - 12:30 / 14:00 - 19:00;9:00 - 12:30 / 14:00 - 19:00;9:00 - 12:30 / 14:00 - 19:00;9:00 - 12:30 / 14:00 - 19:00;9:00 - 14:00;-;;Espace labellisé
160;27;Étrépagny;3 Rue Maison de Vatimesnil;;27226;27150;ETREPAGNY;49.30304;1.612655;msap@ccvexin-normand.fr;02 32 27 41 87;Collectivité;CC du Vexin Normand;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;-;;Espace labellisé
161;27;Beaumont-le-Roger;1 bis rue de l’Église;;27051;27170;BEAUMONT LE ROGER;49.81321;0.778501;franceservices.beaumont@bernaynormandie.fr;02 32 43 83 47;Collectivité;Intercom BernayTerres de Normandie;14:00 - 18:00;9:00 - 12:30 / 14:00 - 18:00;9:00 - 12:30 / 14:00 - 18:00;9:00 - 12:30 / 14:00 - 18:00;9:00 - 12:30 / 14:00 - 18:00;-;;Espace labellisé
162;27;Rugles;33 t Rue Aristide Briand;;27502;27250;RUGLES;48.82213;0.710076;visio-accueil-rugles@orange.fr;02 32 24 96 80;Collectivité;Interco Normandie Sud Eure;9:00 - 12:30 / 13:30 - 18:30;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 18:30;9:00 - 12:30 / 13:30 - 17:00;-;;Espace labellisé
163;27;Trinité-de-Réville;652 Route de l'Eglise;;27660;27270;LA TRINITE DE REVILLE;48.97231;0.511642;franceservices.ccril@bernaynormandie.fr;02 32 44 44 43;Collectivité;Intercom BernayTerres de Normandie;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30 / 14:00 - 17:30;9:00 - 12:30 / 14:00 - 17:00;-;;Espace labellisé
164;27;Gaillon;12-14 Rue Jean-moulin;;27275;27600;GAILLON;;;contact@espacecondorcet.org;02 32 77 50 80;Association;Espace Condorcet Gaillon;8:30 - 12:30 / 13:15 - 18:00;8:30 - 12:30 / 13:15 - 18:00;8:30 - 12:30 / 13:15 - 18:00;8:30 - 12:30 / 13:15 - 18:00;8:30 - 12:30 / 13:15 - 18:00;-;;Espace labellisé
165;27;Andelys;Rue des Oiseaux;;27016;27700;LES ANDELYS;49.24606;1.418078;franceservices@ville-andelys.fr;;Collectivité;Centre social des Andelys;8:45 - 12:00 / 13:30 - 17:00;8:45 - 12:00 / 13:30 - 17:00;8:45 - 12:00 / 13:30 - 17:00;8:45 - 12:00 / 13:30 - 17:00;8:45 - 12:00 / 13:30 - 17:00;-;;Espace labellisé
