MATRICULE;DEPARTEMENT;FRANCE SERVICES;ADRESSE;COMPLEMENT D'ADRESSE;CODE INSEE;CODE POSTAL;COMMUNE;LATITUDE;LONGITUDE;CONTACT MAIL;TELEPHONE;TYPE STRUCTURE PORTEUSE;STRUCTURE PORTEUSE;HORAIRES LUNDI;HORAIRES MARDI;HORAIRES MERCREDI;HORAIRES JEUDI;HORAIRES VENDREDI;HORAIRES SAMEDI;ITINERANCE
98;15;Hotel Numérique de Montsalvy;Rue du Tour de Ville;;15134;15120;MONTSALVY;;;msp.montsalvy@chataigneraie15.fr;04 71 49 64 37;Collectivité;Communauté de Communes de la Châtaigneraie Cantalienne;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30;-;
102;15;Pierrefort;6 Rue de l'Aubrac;;15152;15230;PIERREFORT;44,92519;2,841721;;;Collectivité;Saint-Flour Communauté;9:00 - 12:00 ;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 ;-;
103;15;Services de Murat;4 Rue du Faubourg Nôtre-dame;;15138;15300;MURAT;45,1187;2,869814;mdsmurat@hautesterres.fr;;Collectivité;Hautes terres Communauté;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;
104;15;Maurs;3 Place du 11 Novembre;;15122;15600;MAURS;;;msp.maurs@chataigneraie15.fr;04 71 46 87 17;Collectivité;Communauté de Communes de la Châtaigneraie Cantalienne;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;-;
105;16;Châteauneuf sur Charente;1 rue Aristide Briand ;;16090;16120;CHATEAUNEUF SUR CHARENTE;;;j.guichet@chateauneuf16120,fr;05 45 97 12 42;Collectivité;Communauté d’Agglomération de Grand Cognac;-;13:30 - 18:00;13:30 - 18:00;8:30 - 12:00 / 13:30 - 18:00;13:30 - 18:00;9:00 - 12:00;
106;16;Montmoreau;35 avenue d'aquitaine;;16230;16190;MONTMOREAU ST CYBARD;45,396117;0,130144;;;Collectivité;Communauté de Communes;8:45 - 17:00;9:00 - 12:15 / 14:00 - 17:45;9:00 - 12:15;9:00 - 12:15 / 14:00 - 17:00;9:00 - 12:15 / 14:00 - 16:00;-;
107;16;Barbezieux;32 rue de la Motte;;16028;16300;BARBEZIEUX - SAINT-HILAIRE;45,473486;-0,157919;urbanisme3@cdc4b.com;;Collectivité;Communauté de Communes;8:30 - 12:30 / 13:30 - 16:30;8:30 - 12:30;8:30 - 12:30;8:30 - 12:30;8:30 - 12:30 / 15:30 - 16:30;-;
108;16;Montemboeuf;22 Rue Laugérias;;16225;16310;MONTEMBOEUF;45,777575;0,551858;;;La Poste;La Poste;-;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00;
109;16;Saint-Séverin;4 Rue de la Pavancelle;;16350;16390;ST SEVERIN;45,312623;0,253223;;;Collectivité;Communauté de Communes;9:00 - 12:15 / 13:30 - 17:30;9:00 - 12:15 / 13:30 - 16:00;9:00 - 12:15;9:00 - 12:15 / 13:30 - 16:00;8:30 - 12:30 / 13:15 - 17:30;-;
110;17;Centre Arc en Ciel;8 Rue de l'Hotel de Ville ;;17131;17120;COZES;45,584277;-0,83946;csc.cozes@wanadoo.fr;;Association;Centre Arc en Ciel;9:00 - 13:00;9:00 - 12:00 / 14:00 - 17:00    ;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 18:00;9:00 - 12:00 / 13:00 - 17:00;-;
111;17;La Maison Pop’;Avenue de la Gare;;17240;17130;MONTENDRE;45,282004;-0,396837;lam.montendre@wanadoo.fr;;Association;LA MAISON Pop’;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;-;
112;17;MIS Maison des Initiatives Marennes;Rue Dubois Meynardie ;;17219;17320;MARENNES HIERS BROUAGE;45,822826;-1,19971;accueil.mis@marennes-oleron.com;;Association;MIS Maison des Initiatives Marennes;8:45 - 12:30 / 14:00 - 17:30;14:00 - 17:30;8:45 - 12:30 / 14:00 - 17:30;8:45 - 12:30 / 14:00 - 17:30;8:45 - 12:30 / 14:00 - 17:30;-;
113;17;Saint-Jean-d’Angély;1 Rue de Dampierre ;;17347;17400;ST JEAN D ANGELY;45,947368;-0,514339;accueil.cias@valsdesaintonge.fr;;Collectivité;CDC Vals de Saintonge;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 / 13:30 - 16:00;-;
114;17;Saint Martin de Ré;Place de la République;;17369;17410;ST MARTIN DE RE;46,202183;-1,367975;;;La Poste;La Poste;9:00 - 12:30 / 14:00 - 16:00;9:00 - 12:30 / 14:00 - 16:00;9:00 - 12:30 / 14:00 - 16:00;9:00 - 12:30 / 14:00 - 16:00;9:00 - 12:30 / 14:00 - 16:00;9:00 - 12:00;
115;17;Tonnay-Charente - Fixe;20 Avenue du Général de Gaulle ;;17449;17430;TONNAY CHARENTE;45,944822;-0,894744;msap.cap@gmail.com;;Association;CAP Tonnay-Charente;8:30 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:30;13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:30;9:00 - 12:30 / 13:30 - 17:00;-;
116;17;MSA Jonzac;1 place 8 Mai 1945;;17197;17500;JONZAC;45,44781;-0,432754;;;Opérateur;MSA Jonzac;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;-;
117;17;Médis;25 Rue du 4e Zouave ;;17228;17600;MEDIS;45,643817;-0,964325;;;La Poste;La Poste;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:30;9:00 - 12:00 / 13:30 - 16:30;-;
119;18;Espace France Services de Sancoins;38 rue de la croix blanche;;18242;18600;SANCOINS;46,829326;2,917966;msap@sancoins.fr;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
120;18;Aubigny sur Nère;6 rue du 8 mai 1945;;18015;18700;AUBIGNY SUR NERE;47,485101;2,434796;msap@aubigny-sur-nere.fr;02 48 58 44 02;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
121;19;Saint-Ybard;1 Rue des Fontaines;;19248;19140;ST YBARD;45,447364;1,521527;mairie.saint-ybard@wanadoo.fr;;Collectivité;Commune (et partenariat privilégié avec chambre d’agriculture);8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;
122;19;Ayen;Place Louis Mareuse;;19015;19310;AYEN;45,246503;1,326471;rsp.mairieayen@orange.fr;;Collectivité;Commune;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00;
123;19;Chamberet;Place du Monument;;19036;19370;CHAMBERET;45,5831;1,72982;contact@mairie-chamberet.fr;;La Poste;La Poste;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00;
124;2A;Jardins de l'Empereur - Ajaccio;Avenue de la Grande Armée Jardins de l'Empereur;Tour Napoleon;2A004;20000;AJACCIO;41,926501;8,725539;;;Collectivité;Commune AJACCIO;9:00 - 16:00;9:00 - 16:00;9:00 - 16:00;9:00 - 16:00;9:00 - 16:00;-;
125;2A;Vico;Cours Jean Etienne Colonna;La Poste;2A348;20160;VICO;48,526828;2,379166;msap.vico@laposte.fr;4 95 26 61 69;La Poste;La Poste;9:00 - 12:00 /  14:00 - 16:00;9:00 - 12:00 /  14:00 - 16:00;9:00 - 12:00 /  14:00 - 16:00;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00 /  14:00 - 16:00;10:00 - 12:00;
126;2B;Calacuccia;Piazza al Forno;;2B047;20224;CALACUCCIA;42,335357;9,016688;;;La Poste;La Poste;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
127;2B;Castello-Di-Rostino;Ponte Novu;;2B079;20235;CASTELLO DI ROSTINO;42,48508;9,2894;;;La Poste;La Poste;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
128;21;Is-sur-Tile;20 Place Général Leclerc;;21317;21120;IS SUR TILLE;47,521601;5,112966;msap.issurtille@hotmail.com;;Collectivité;CCAS Is-sur-Tille;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 16:30;-;
129;21;Semur-en-Auxois;1 Avenue Pasteur;;21603;21140;SEMUR EN AUXOIS;47,493786;4,346018;efs.semur@gmail.com ;;Collectivité;CCAS Semue-en-Auxois;9:00 - 12:00 / 13:15 - 18:15;8:30 - 12:00 / 13:30 - 18:15;9:00 - 13:00 / 14:00 - 18:15;8:30 - 12:30 / 14:00 - 19:00;9:00 - 13:00 / 13:30 - 17:00;2ème et 4ème samedis du mois : 9:00 - 12:00;
130;21;Arnay-le-Duc;3 Rue de la Gare;;21023;21230;ARNAY LE DUC;47,1387;4,49111;msap@csarnayleduc.fr;;Association;"Association du centre social d’Arnay-le-Duc";9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;-;
131;21;Pontailler-sur-Saône;1 Rue des Saucis;;21496;21270;PONTAILLER SUR SAONE;47,314203;5,48484;mds@capvaldesaone.fr;03 80 47 89 82;Collectivité;CC Auxonne Pontailler Val de Saône;14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;-;
132;21;Mirebeau-sur-Bèze;6Bis Place du General Viard;;21416;21310;MIREBEAU SUR BEZE;47,39727;5,315046;d.colnot@mfcc.fr;3 80 38 02 48;Collectivité;CC du Mirebellois et du Fontenois;13:30 - 16:30;8:45 - 12:00 / 13:30 - 16:30;8:45 - 12:00 / 13:30 - 16:15;8:45 - 12:00 / 13:30 - 17:30;8:45 - 12:00;-;
133;22;Saint-Brieuc;Rue de Genève;;22278;22000;ST BRIEUC;48,517271;-2,745375;;;Collectivité;Ville de Saint-Brieuc;8:00 - 16:00;8:00 - 16:00;8:30 - 12:00;8:00 - 16:00;8:00 - 16:00;-;
134;22;Tréguier;12 rue Lamennais;;22362;22220;TREGUIER;48,789826;-3,229378;;;Collectivité;Lannion Trégor Communauté;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;-;
135;22;Le Mené;24 La Croix de Jeanne Even;;22046;22330;LE MENE;48,294881;-2,521874;accueil@mene.fr;;Collectivité;Commune Le Mené;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;-;
136;22;Loudéac;15 Rue de Moncontour;;22136;22600;LOUDEAC;48,177776;-2,756012;msp-loudeac@orange.fr;;Collectivité;Loudéac Communauté Bretagne Centre;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00;
137;23;Boussac;Quartier Pasteur;;23031;23600;BOUSSAC;46,34984;2,216669;msapboussac23@orange.fr;;Collectivité;Communauté de communes Creuse Confluence;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 14:00 - 16:30;9:30 - 12:00;
138;23;La Palette;9 Place de la Poste;;23075;23800;DUN LE PALESTEL;46,305329;1,663737;contact@lapalette23.fr;5 87 66 00 00;Collectivité;Communauté de communes du Pays Dunois;Sept. - Juin : 14:00 - 17:30 // Eté : 10:00 - 12:30 / 13:30 - 18:00;Sept. - Juin : 9:00 - 12:00 / 14:00 - 17:30 // Été : 10:00 - 12:30 / 13:30 - 18:00 ;Sept. - Juin : 9:00 - 12:00 / 14:00 - 17:30 // Été : 10:00 - 12:30 / 13:30 - 18:00 ;Sept. - Juin : 9:00 - 12:00 / 14:00 - 17:30 // Été : 10:00 - 12:30 / 13:30 - 18:00 ;Sept. - Juin : 14:00 - 17:30 // Été : 10:00 - 12:30 / 13:30 - 18:00;Juin - Sept. : 9:00 - 12:00;
139;24;Belvès;58 Avenue du Lieutenant Giffault;;24035;24170;PAYS DE BELVES;44,774489;1,002403;msap24220@ccvdfb.fr;;Collectivité;CC Dordogne Forêt Bessede;9:00 - 12:00;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00;9:00 - 12:00 / 13:30 - 16:30;9:00 - 12:00 / 13:30 - 16:30;-;
140;24;Thenon Hautefort - Thenon;5, place Montaigne;;24550;24210;THENON;45,136399;1,071554;contact@cctth.fr;;Collectivité;CCAS;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 / 14:00 - 17:30;9:00 - 12:00 / 14:00 - 17:30;14:00 - 17:30;9:00 - 12:00 / 14:00 - 17:30;-;
141;24;Lanouaille;9 place de la Fontaine Bugeaud;;24227;24270;LANOUAILLE;45,391435;1,139449;;;La Poste;La Poste;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00 / 13:30 - 16:00;9:00 - 12:00;
142;24;Nontron;12 bis Boulevard Gambetta;;24311;24300;NONTRON;45,532329;0,66902;;;Etat;Sous préfecture;9:00 - 12:00 / 13:00 - 15:00;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00 / 13:00 - 15:00;9:00 - 12:00 / 14:00 - 16:00;-;
144;24;Mussidan;Place Woodbridge;;24299;24400;MUSSIDAN;45,037127;0,364799;;;Collectivité;CC Isle Crempse en Perigord;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00 / 14:00 - 16:00;9:00 - 12:00 / 14:00 - 16:00;-;
145;24;Saint Exupéry;60 ter Avenue du Général de Gaulle;Espace Jules Verne;24138;24660;COULOUNIEIX CHAMIERS;45,189052;0,697801;cscc24.correa@gmail.com;;Association;Centre social Saint Exupéry;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;8:30 - 12:00 / 13:30 - 17:00;-;
146;25;Besançon Planoise;7 - 9 rue Pablo Picasso;;25056;25000;BESANCON;47,2194;5,97343;msap@besancon.fr;3 81 41 22 21;Collectivité;CCAS de Besançon;8:30 - 12:30 / 13:30 - 17:00;9:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 12:30 / 13:30 - 17:00;8:30 - 17:30;-;
147;25;Baume les Dames;3 Place de la Republique;;25047;25110;BAUME LES DAMES;47,352575;6,36156;msap@baumelesdames.org;3 81 84 72 45;Collectivité;Commune de Baume les Dames;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / Sur RDV : 13:30 - 17:30;9:00 - 12:00 ;13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:00;-;
149;25;Montbéliard;12 Rue Maurice Ravel;;25388;25200;MONTBELIARD;47,499355;6,798311;;;Collectivité;France Victimes Nord Franche-Comté;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00 / 13:00 - 17:00;-;
150;25;Amancey;13 Rue du Four;;25015;25330;AMANCEY;;;contact@msap-amancey.fr;3 81 86 79 80;Collectivité;Communauté de Communes Loue Lison;9:00 - 12:15 / 14:00 - 18:00;9:00 - 12:15 / 14:00 - 18:00;9:00 - 12:15 / 14:00 - 18:00;9:00 - 12:15 / 14:00 - 18:00;9:00 - 12:15 / 14:00 - 18:00;9:00 - 12:00;
151;25;Premiers Sapins;8 Rue de la Scierie;;25424;25580;LES PREMIERS SAPINS;47,9857;6,336511;mairie.lps25@orange.fr;;Collectivité;Commune des Premiers Sapins;13:30 - 16:30;13:30 - 16:30;8:30 - 11:30;13:30 - 18:00;9:00 - 16:30;-;
152;25;Sochaux;4 Rue de la Poste;;25547;25600;SOCHAUX;47,513503;6,831016;msapsochaux@outlook.fr;;Collectivité;France Victimes Nord Franche-Comté;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00;13:00 - 18:00;9:00 - 12:00 / 13:00 - 17:00;9:00 - 12:00;-;
154;25;Valdahon;5 Place du Général de Gaulle;;25578;25800;VALDAHON;47,147983;6,345019;mds@valdahon.com;3 81 26 04 10;Collectivité;Commune de Valdahon;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / Sur RDV : 13:30 - 17:00;-;
155;26;Die;200 Avenue de la Clairette;;26113;26150;DIE;44,760287;5,359735;cdr.cfppa.die@educagri.fr;4 75 22 04 19;Collectivité;EPLEFPA Le Valentin;9:00 - 13:00 / 14:00 - 17:00;9:00 - 13:00;9:00 - 13:00 / 14:00 - 17:00;9:00 - 13:00;9:00 - 13:00;-;
156;26;Saint-Jean-en-Royans;78 rue Jean-Jaurès;;26307;26190;ST JEAN EN ROYANS;45,015301;5,291459;crm.royans-vercors@gmail.com;4 75 05 21 12;Collectivité;CC Royans-Vercors;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 19:00;10:00 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:30;8:30 - 12:00 / 13:30 - 17:00;-;
157;26;Livron;90 Avenue Joseph Combier;;26165;26250;LIVRON SUR DROME;44,768063;4,840602;;;Collectivité;CC Val de Drôme;8:00 - 12:00 / 13:00 - 17:00;8:00 - 12:00;8:00 - 12:00 / 13:00 - 17:00;8:00 - 12:00;8:00 - 12:00 / 13:00 - 17:00;-;
158;26;PIMMS Portes de Provence;130 Avenue de la Gare;;26116;26290;DONZERE;44,443442;4,704757;portes-de-provence@pimms.org;4 69 14 30 30;PIMMS;Union Nationale des PIMMS;8:00 - 12:30 / 13:30 - 18:15;8:00 - 12:30 / 17:00 - 18:15;8:00 - 12:30 / 17:00 - 18:15;8:00 - 12:30 / 17:00 - 18:15;8:00 - 12:30;-;
159;27;Evreux Portes de Normandie;1 Rue Frederic et Irene Joliot Curie;;27229;27000;EVREUX;49,09782;1,1686;;;Collectivité;Evreux Portes de Normandie;10:30 - 12:30 / 14:00 - 19:00;9:00 - 12:30 / 14:00 - 19:00;9:00 - 12:30 / 14:00 - 19:00;9:00 - 12:30 / 14:00 - 19:00;9:00 - 14:00;-;
160;27;Étrépagny;3 Rue Maison de Vatimesnil;;27226;27150;ETREPAGNY;49,303043;1,612655;;;Collectivité;CC du Vexin Normand;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;-;
161;27;Beaumont-le-Roger;1 bis rue de l’Église;;27051;27170;BEAUMONT LE ROGER;49,81321;0,778501;;;Collectivité;Intercom BernayTerres de Normandie;14:00 - 18:00;9:00 - 12:30 / 14:00 - 18:00;9:00 - 12:30 / 14:00 - 18:00;9:00 - 12:30 / 14:00 - 18:00;9:00 - 12:30 / 14:00 - 18:00;-;
162;27;Rugles;33 t Rue Aristide Briand;;27502;27250;RUGLES;48,822131;0,710076;visio-accueil-rugles@orange.fr;2 32 24 96 80;Collectivité;Interco Normandie Sud Eure;9:00 - 12:30 / 13:30 - 18:30;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 17:00;9:00 - 12:30 / 13:30 - 18:30;9:00 - 12:30 / 13:30 - 17:00;-;
163;27;Trinité-de-Réville;652 Route de l'Eglise;;27660;27270;LA TRINITE DE REVILLE;48,972311;0,511642;;;Collectivité;Intercom BernayTerres de Normandie;9:00 - 12:00 / 14:00 - 17:30;9:00 - 12:00 / 14:00 - 17:30;9:00 - 12:00 / 14:00 - 17:30;9:00 - 12:00 / 14:00 - 17:30;9:00 - 12:00 / 14:00 - 17:00;-;
164;27;Gaillon;14 Rue Jean-moulin;;27275;27600;GAILLON;49,16151;1,336922;;;Association;Espace Condorcet Gaillon;8:30 - 12:30 / 13:15 - 18:00;8:30 - 12:30 / 13:15 - 18:00;8:30 - 12:30 / 13:15 - 18:00;8:30 - 12:30 / 13:15 - 18:00;8:30 - 12:30 / 13:15 - 18:00;-;
165;27;Andelys;Rue des Oiseaux;;27016;27700;LES ANDELYS;49,246056;1,418078;accueil.annexe@ville-andelys.fr;;Collectivité;Centre social des Andelys;8:45 - 12:00 / 13:30 - 17:00;8:45 - 12:00 / 13:30 - 17:00;8:45 - 12:00 / 13:30 - 17:00;8:45 - 12:00 / 13:30 - 17:00;8:45 - 12:00 / 13:30 - 17:00;-;
166;28;La Loupe ;18 Rue de la Gare;;28214;28240;LA LOUPE;48,473352;1,011705;msaplaloupe@terresdeperche.fr;2 37 81 38 93;Collectivité;"Communauté de Communes 
Terres de Perche ";Sur RDV : 9:00 - 12:15 / Autonomie postes informatiques : 13:30 - 16:00;8:00 - 12:15;8:00 - 12:15;8:00 - 12:15 / RDV ou totale autonomie sur les postes informatiques : 13:30 - 16:;8:00 - 10:00;-;
167;28;Senonches;2 Rue de Verdun;;28373;28250;SENONCHES;48,560658;1,033;msap@foretsduperche.fr;;Collectivité;"Communauté de Communes 
Forêts du Perche ";11:00 - 13:00 / Sur RDV : 14:00 - 17:00;9:00 - 13:00 ;9:00 - 12:00 / Sur RDV : 14:00 - 18:00;9:00 - 12:00 / Sur RDV : 14:00 - 18:00;9:00 - 12:00 ;-;
168;28;Authon-du-Perche;1 Place de la Mairie;Bâtiment de la Mairie;28018;28330;AUTHON DU PERCHE;48,195217;0,896835;msap.authon28@orange.fr;;Collectivité;Mairie d’Authon-du-Perche;9:00 - 12:00;9:00 - 12:00 / 14:00 - 17:00 ;9:00 - 12:00;9:00 - 12:00 / 14:00 - 17:00 ;9:00 - 12:00 / 14:00 - 17:00 ;-;
169;29;La Poste Ouessant;Bas du Bourg;;29155;29242;ILE D OUESSANT;48,459443;-5,957;;;La Poste;La Poste;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 16:30;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00;
170;29;PIMMS Quimper Cornouaille;2 Rue de l'Ile de Man;;29232;29000;QUIMPER;47,98812;-4,128679;pimms.quimper@orange.fr;2 98 52 77 50;PIMMS;Union Nationale des PIMMS;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;-;
172;29;Châteaulin;33 Quai Robert Alba;;29026;29150;CHATEAULIN;48,198878;-4,87453;;;Collectivité;Communauté de communes de Pleyben Châteaulin Porzay;8:45 - 12:00 / 13:30 - 17:30;8:45 - 12:00 / 13:30 - 17:30;8:45 - 12:00 / 13:30 - 17:30;8:45 - 12:00 / 13:30 - 17:00;8:45 - 12:00 / 13:30 - 17:00;-;
173;29;PIMMS de Brest Pontanézen;31 Rue Saint-jacques;;29019;29200;BREST;48,49929;-4,471316;brest.pontanezen@pimms.org;2 98 41 00 66;PIMMS;Union Nationale des PIMMS;13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 12:00 / 13:30 - 17:00;9:00 - 11:45;
174;30;Roquemaure;Place Chateauneuf;;30221;30150;ROQUEMAURE;44,051936;4,779906;msap@mairie-roquemaure.fr;4 66 90 27 28;Collectivité;Mairie de Roquemaure;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;9:00 - 12:00 / 13:30 - 17:30;8:00 - 12:00 / 13:30 - 16:30;-;
175;30;Relais emploi intercommunal du Pont du Gard; 	71 Avenue Geoffroy Perret;;30212;30210;REMOULINS;43,939447;4,564049;relais.emploi@cc-pontdugard.fr;4 66 37 27 13;Collectivité;;8:30 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00 / 14:00 - 17:00;-;
176;30;Centre communal d’Action Sociale;24 Rue Nicolas Lasserre;;30003;30220;AIGUES MORTES;43,570453;4,19872;;4 66 53 62 00;Collectivité;;-;8:00 - 12:00 / 13:30 - 17:30;-;9:00 - 12:00 / 14:00 - 17:00;9:00 - 12:00;-;
177;30;CALADE Calvisson;6 bis Avenue du 11 Novembre 1918;;30062;30240;CALVISSON;43,781797;4,193019;centresocial.calvisson@calade.org;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
178;30;CALADE Sommières;1 Rue Poterie ;;30321;30250;SOMMIERES;43,7857;4,87667;centresocial.sommieres@calade.org;;;;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;Horaires non communiqués;
